Gender,Months,Growth_rate,BMI_Level,PCT,Quantile,Weight,Protein_Mass,Mineral_Mass,Soft_Lean_Mass,Body_Fat_Mass,Skeletal_Muscle_Mass,BMR,Student_ID,Age,Target_Age,Target_Months,Height,Target_Height,PW,MW,SW,BW,SMW,SS,BS,Ages,Target_Ages,nobs
1,148,0.05144032921810693,1.0,3.0,0.6284407137395974,49.3,7.5,2.7,36.2,10.0,20.8,1201.0,10898.0,12.0,13.0,161.0,156.2,166.2,0.1557177615571776,0.055813953488372,0.7466442953020134,0.2083333333333333,0.427645788336933,0.5735735735735736,0.2786377708978328,12.0,13.0,6103
1,149,0.0579896907216495,1.0,3.0,0.5957170470235964,49.7,7.6,2.7,36.5,10.0,21.0,1207.0,10325.0,12.0,13.0,166.0,156.2,167.1,0.1561771561771562,0.0555555555555555,0.7486338797814207,0.2088772845953002,0.4268292682926829,0.5739644970414202,0.2797202797202797,12.0,13.0,6217
1,150,0.048703352308665515,1.0,3.0,0.535871839398303,47.5,7.4,2.6,35.4,8.0,20.2,1182.0,9202.0,12.0,13.0,163.0,155.7,165.0,0.1632653061224489,0.0569230769230769,0.7806004618937644,0.1728395061728395,0.4458438287153652,0.5722713864306784,0.2222222222222222,12.0,13.0,927
1,151,0.06278189982694449,1.0,3.0,0.5844739098186408,50.6,7.7,2.8,37.0,10.0,21.3,1218.0,9257.0,12.0,14.0,173.0,157.2,168.4,0.15543906909575644,0.0561497326203208,0.7454859618965763,0.20660177138046731,0.4297635605006953,0.5744680851063829,0.27652992953157174,12.0,14.0,1362
1,152,0.05263157894736836,1.0,3.0,0.5192267855675233,48.7,7.6,2.7,36.4,8.0,20.8,1205.0,9189.0,12.0,13.0,167.0,156.6,166.7,0.1624472573839662,0.0580645161290322,0.7835990888382688,0.1654846335697399,0.4471544715447154,0.5737265415549598,0.2102102102102102,12.0,13.0,765
1,153,0.04955223880597015,1.0,3.0,0.584159589750634,50.6,7.9,2.8,37.9,9.0,21.9,1238.0,12503.0,12.0,14.0,169.0,158.4,167.9,0.1587301587301587,0.0567514677103718,0.7628361858190709,0.1913875598086124,0.4366438356164384,0.5761772853185596,0.2515723270440251,12.0,14.0,4003
1,154,0.04054054054054035,1.0,3.0,0.6419563326943645,52.0,8.2,2.9,39.1,9.0,22.7,1265.0,16116.0,12.0,14.0,170.0,160.1,168.2,0.162037037037037,0.0571955719557195,0.7755834829443448,0.1785714285714285,0.4483260553129549,0.5784061696658098,0.2284263959390863,12.0,14.0,5471
1,155,0.04337050805452303,1.0,3.0,0.6520469906362368,52.2,8.3,2.9,39.6,9.0,22.9,1278.0,19394.0,12.0,14.0,171.0,160.9,168.9,0.1607717041800643,0.0568720379146919,0.771266540642722,0.1841620626151013,0.4444444444444445,0.5780487804878048,0.238095238095238,12.0,14.0,6461
1,156,0.041984732824427606,1.0,3.0,0.6277486361905118,51.9,8.3,2.9,39.9,8.0,23.1,1285.0,16273.0,13.0,14.0,173.0,161.0,168.9,0.1640449438202247,0.0577427821522309,0.7868852459016393,0.1652892561983471,0.4534574468085106,0.5784313725490197,0.2099737532808399,13.0,14.0,11644
1,157,0.02717357150712485,1.0,3.0,0.6981358802488361,54.5,8.8,3.0,41.7,10.0,24.3,1326.0,19869.0,13.0,13.0,166.0,162.95,168.3,0.160919540229885,0.056404997203057944,0.7725856697819314,0.1820388349514562,0.4470198675496689,0.5804020100502514,0.2365930599369085,13.0,13.0,1538
1,158,0.029544628570471465,1.0,3.0,0.6470942485343953,52.9,8.5,3.0,40.8,8.0,23.6,1304.0,4698.0,13.0,14.0,171.0,162.5,168.35000000000002,0.1638095238095238,0.058076225045372,0.7858585858585858,0.165837479270315,0.4520295202952029,0.5796019900497512,0.2120141342756183,13.0,14.0,2792
1,159,0.033903529854333536,1.0,3.0,0.6541928652459127,54.9,8.7,3.1,41.5,10.0,24.1,1322.0,16243.0,13.0,14.0,172.0,163.2,169.7,0.160741885625966,0.0572597137014314,0.7723785166240409,0.182648401826484,0.4472573839662447,0.5813953488372092,0.2358490566037736,13.0,14.0,9312
